,followers_count,in_reply_to_screen_name,created_at,text,likes,location,author,_id,retweet_count,type
4573,0,N/A,2020-03-01 09:56:57,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,,Patoman56282358,1234055012118138880,201,Retweet
4574,102,N/A,2020-03-01 09:54:40,"b'RT @Gerrymubang: #Eyewitness_Ngarbuh_Killed\xf0\x9f\x87\xa8\xf0\x9f\x87\xb2\nReliably info, Mallam Danjuma alias (DJ) who granted interview to the UN and Human Rights Wat\xe2\x80\xa6'",0,Kana ,shackled2013,1234054438979088384,58,Retweet
4575,102,N/A,2020-03-01 09:54:37,b'RT @innochia: For how much longer do we endure the mayhem from the beastial regime of #genocidairePaulBiya? For those who think they are ex\xe2\x80\xa6',0,Kana ,shackled2013,1234054425146220544,44,Retweet
4576,102,N/A,2020-03-01 09:54:34,b'RT @ShipBroker15: Five women shot dead today the 1st of March 2020 in Southern Cameroons by French Cameroun Militaries. This make a total o\xe2\x80\xa6',0,Kana ,shackled2013,1234054414119383041,42,Retweet
4577,0,N/A,2020-03-01 09:50:20,b'RT @ChoAyaba: The genocide in #Ambazonia by #Cameroon has killed more people than #corona virus. The #UNSC  must INVOKE the RESPONSIBILITY\xe2\x80\xa6',0,,Patoman56282358,1234053346337738760,21,Retweet
4578,189,N/A,2020-03-01 09:46:33,b'RT @pabiedu1: The int\xe2\x80\x99l community is speaking about the Ngarbuh Massacre. #SouthernCameroonians are mourning! what is next? Who will #StopT\xe2\x80\xa6',0,Bamenda,NiniMoks,1234052396155834368,37,Retweet
4579,189,N/A,2020-03-01 09:46:27,b'RT @PatrickNjwoman: Dear @FLOTUS women and children confronting a #genocide in English Speaking Southern #Cameroons appeal to have your voi\xe2\x80\xa6',0,Bamenda,NiniMoks,1234052370864144386,37,Retweet
4580,75,N/A,2020-03-01 09:46:11,b'on a m\xc3\xaame pas encore fini avec ngarbuh https://t.co/4xRdxut0hk',0,,ndenla,1234052304954953730,0,Tweet
4581,189,N/A,2020-03-01 09:45:38,"b'RT @apeterbruce: #FoulPlay\nKey eyewitness of de #Ngarbuh @massacre on @VDay 2020in #Ambazonia,Mallam Danjuma has been killed by BIRs.\n#Mean\xe2\x80\xa6'",0,Bamenda,NiniMoks,1234052163715960839,52,Retweet
4582,189,N/A,2020-03-01 09:45:02,b'RT @ShipBroker15: Five women shot dead today the 1st of March 2020 in Southern Cameroons by French Cameroun Militaries. This make a total o\xe2\x80\xa6',0,Bamenda,NiniMoks,1234052013094326274,42,Retweet
4583,189,N/A,2020-03-01 09:44:59,b'RT @news_amba: The eloquent silence of world on genocide in Ambazonia empowers dictator Biya. Similar cases to Ngarbuh everyday. This is Ba\xe2\x80\xa6',0,Bamenda,NiniMoks,1234052002356875264,42,Retweet
4584,189,N/A,2020-03-01 09:43:30,b'RT @fonye_banadzem: @hrw Why should world leaders keep watch while the #Biyaregime after the genocidal act in #Ngarbuh hold basically all t\xe2\x80\xa6',0,Bamenda,NiniMoks,1234051628325535745,28,Retweet
4585,822,N/A,2020-03-01 09:42:10,b'RT @ShipBroker15: Five women shot dead today the 1st of March 2020 in Southern Cameroons by French Cameroun Militaries. This make a total o\xe2\x80\xa6',0,,Goddygo1,1234051292814663681,42,Retweet
4586,822,N/A,2020-03-01 09:41:46,b'RT @innochia: For how much longer do we endure the mayhem from the beastial regime of #genocidairePaulBiya? For those who think they are ex\xe2\x80\xa6',0,,Goddygo1,1234051193464188929,44,Retweet
4587,822,N/A,2020-03-01 09:41:36,"b'RT @Gerrymubang: #Eyewitness_Ngarbuh_Killed\xf0\x9f\x87\xa8\xf0\x9f\x87\xb2\nReliably info, Mallam Danjuma alias (DJ) who granted interview to the UN and Human Rights Wat\xe2\x80\xa6'",0,,Goddygo1,1234051149906378754,58,Retweet
4588,822,N/A,2020-03-01 09:41:10,b'RT @Mimimefo237: Ngarbuh Massacre whistleblower killed and abandoned in Bui\n\nOther witnesses as well as survivors of the Ngarbuh massacre a\xe2\x80\xa6',0,,Goddygo1,1234051039541649408,172,Retweet
4589,2440,N/A,2020-03-01 09:36:30,"b""RT @minister_sylva: While the world is still to contain Ngarbuh Massacre by Mr Biya's military,  they have again done it in Babanki . All i\xe2\x80\xa6""",0,#Amerikkka ,RobertR41182121,1234049867233644544,70,Retweet
4590,457,N/A,2020-03-01 09:29:31,"b""RT @minister_sylva: While the world is still to contain Ngarbuh Massacre by Mr Biya's military,  they have again done it in Babanki . All i\xe2\x80\xa6""",0,,sonnyhoney100,1234048111661735939,70,Retweet
4591,241,N/A,2020-03-01 09:29:18,"b'RT @MarkBareta: The Jesuits Superiors of Africa, the Catholic Orders have condemned the slaughtering of children and civilians in #Ngarbuh,\xe2\x80\xa6'",0,,Mckighan,1234048053927141379,56,Retweet
4592,241,N/A,2020-03-01 09:28:50,"b""RT @MarkBareta: #NgarbuhMassacre was a red line. The int'l community must act now. Biya cannot be allowed to make mockery of slaughtering b\xe2\x80\xa6""",0,,Mckighan,1234047936033705984,50,Retweet
4593,241,N/A,2020-03-01 09:28:44,"b'RT @MarkBareta: #Cameroon is doing everything possible to hide evidences against #NgarbuhMassacre. Today, a military squad marched into #Ng\xe2\x80\xa6'",0,,Mckighan,1234047912243494912,64,Retweet
4594,16,N/A,2020-03-01 09:27:15,"b'RT @Gerrymubang: #Eyewitness_Ngarbuh_Killed\xf0\x9f\x87\xa8\xf0\x9f\x87\xb2\nReliably info, Mallam Danjuma alias (DJ) who granted interview to the UN and Human Rights Wat\xe2\x80\xa6'",0,,SeanRyd50830293,1234047540829544448,58,Retweet
4595,999,N/A,2020-03-01 09:26:24,"b""RT @minister_sylva: While the world is still to contain Ngarbuh Massacre by Mr Biya's military,  they have again done it in Babanki . All i\xe2\x80\xa6""",0,,sammyonye3,1234047326265729024,70,Retweet
4596,241,N/A,2020-03-01 09:22:52,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,,tonymukunzi,1234046437698064384,201,Retweet
4597,241,N/A,2020-03-01 09:22:47,"b'RT @Gerrymubang: #Eyewitness_Ngarbuh_Killed\xf0\x9f\x87\xa8\xf0\x9f\x87\xb2\nReliably info, Mallam Danjuma alias (DJ) who granted interview to the UN and Human Rights Wat\xe2\x80\xa6'",0,,tonymukunzi,1234046414398853120,58,Retweet
4598,259,N/A,2020-03-01 09:20:02,"b""RT @CMRNewsAgency: Gov't orders the execution of Danjuma, one of the main persons who informed the @UN and @HRW  on the Ngarbuh massacre by\xe2\x80\xa6""",0,"Francisco Beltrão, Brasil",DamasZama,1234045722250616833,201,Retweet
